destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets
152,2,145077,440,6,288,4
152,2,174247,440,6,288,4
152,2,157650,440,6,288,4
1154,12,776386,2448,26,1294,14
152,2,175856,440,6,288,4
152,2,151845,440,6,288,4
152,2,162106,440,6,288,4
152,2,148237,440,6,288,4
152,2,147014,440,6,288,4
152,2,192877,440,6,288,4
1154,12,2621743,2322,24,1168,12
11094,30,2414658,23436,66,12342,36
10522,24,1711199,21984,52,11462,28
152,2,151095,440,6,288,4
11094,30,2275860,23470,66,12376,36
152,2,156431,440,6,288,4
152,2,148938,440,6,288,4
152,2,155171,440,6,288,4
152,2,148593,440,6,288,4
152,2,155879,440,6,288,4
152,2,185023,440,6,288,4
152,2,153716,440,6,288,4
152,2,150651,440,6,288,4
152,2,192346,440,6,288,4
152,2,152028,440,6,288,4
152,2,189675,440,6,288,4
152,2,191287,440,6,288,4
1154,12,2854120,2450,26,1296,14
11230,32,2633035,23554,68,12324,36
152,2,152040,440,6,288,4
152,2,158121,440,6,288,4
152,2,174354,440,6,288,4
152,2,166958,440,6,288,4
152,2,149315,440,6,288,4
152,2,156307,440,6,288,4
10658,26,3612860,22120,54,11462,28
11094,30,3591677,23470,66,12376,36
152,2,171884,440,6,288,4
1154,12,2794979,2456,26,1302,14
11230,32,2586067,23566,68,12336,36
1018,10,3277406,2320,24,1302,14
11094,30,2456932,23430,66,12336,36
152,2,336933,440,6,288,4
1018,10,664396,2314,24,1296,14
152,2,147748,440,6,288,4
152,2,157020,440,6,288,4
152,2,151006,440,6,288,4
1154,12,793052,2448,26,1294,14
152,2,159992,440,6,288,4
152,2,147033,440,6,288,4
152,2,169662,440,6,288,4
152,2,175840,440,6,288,4
152,2,182660,440,6,288,4
152,2,150114,440,6,288,4
1154,12,2672317,2322,24,1168,12
11230,32,2479497,23572,68,12342,36
152,2,201083,440,6,288,4
152,2,153975,440,6,288,4
152,2,159522,440,6,288,4
152,2,150779,440,6,288,4
152,2,3143398,440,6,288,4
152,2,160397,440,6,288,4
152,2,160774,440,6,288,4
10522,24,1531749,21984,52,11462,28
152,2,152069,440,6,288,4
11230,32,2326589,23606,68,12376,36
152,2,148680,440,6,288,4
152,2,161771,440,6,288,4
152,2,164341,440,6,288,4
152,2,171960,440,6,288,4
152,2,182872,440,6,288,4
1154,12,2924683,2314,24,1160,12
11230,32,2504432,23554,68,12324,36
152,2,149023,440,6,288,4
152,2,154816,440,6,288,4
3985926,24422,1019299385197,6387412,48844,2401486,24422
92,1,33602,184,2,92,1
92,1,28585,184,2,92,1
92,1,29794,184,2,92,1
92,1,81522,184,2,92,1
110100,127,1009315722906,119060,257,8960,130
481836,512,1000096504160,2577544,1474,2095708,962
240918,256,1000096470634,1288772,737,1047854,481
17638166,5222,1005212950986,100557483,15791,82919317,10569
8364,86,990558153587,19448,212,11084,126
104212,1122,990558913664,293922,2244,189710,1122
9180,98,990048914531,19312,210,10132,112
374856,3980,990559416986,995968,7440,621112,3460
1139754,9684,1004193260026,5309484,27362,4169730,17678
4488,66,982656016128,8976,132,4488,66
9316,100,990015868038,19992,220,10676,120
81376,870,990527298944,251582,1764,170206,894
4488,66,982793186324,8976,132,4488,66
